1.000000000000000000e+00 5.350000000000000000e+02
2.000000000000000000e+00 5.533333333333333712e+02
3.000000000000000000e+00 5.716666666666667425e+02
4.000000000000000000e+00 5.900000000000001137e+02
5.000000000000000000e+00 6.083333333333334849e+02
6.000000000000000000e+00 6.266666666666668561e+02
7.000000000000000000e+00 6.450000000000002274e+02
8.000000000000000000e+00 6.633333333333335986e+02
9.000000000000000000e+00 6.816666666666669698e+02
1.000000000000000000e+01 7.000000000000003411e+02
1.100000000000000000e+01 7.183333333333337123e+02
1.200000000000000000e+01 7.366666666666670835e+02
1.300000000000000000e+01 7.550000000000004547e+02
1.400000000000000000e+01 7.733333333333338260e+02
1.500000000000000000e+01 7.916666666666671972e+02
1.600000000000000000e+01 8.100000000000005684e+02
1.700000000000000000e+01 8.283333333333339397e+02
1.800000000000000000e+01 8.466666666666673109e+02
1.900000000000000000e+01 8.650000000000006821e+02
2.000000000000000000e+01 8.833333333333340533e+02
2.100000000000000000e+01 9.016666666666674246e+02
2.200000000000000000e+01 9.200000000000007958e+02
2.300000000000000000e+01 9.383333333333341670e+02
2.400000000000000000e+01 9.566666666666675383e+02
2.500000000000000000e+01 9.750000000000009095e+02
